Date,Close,High,Low,Open,Volume
15-05-2023,170.5876923,171.717871,169.992855,171.6682987,37266700
16-05-2023,170.5876923,171.6484668,170.320014,170.5083796,42110300
17-05-2023,171.2023315,171.4402543,168.9518827,170.2307782,57951600
18-05-2023,173.5420074,173.7303731,171.0932844,171.5096645,65496700
19-05-2023,173.6510773,174.8704771,173.4329713,174.8704771,55772400
22-05-2023,172.6993103,173.2049265,171.9557714,172.4812043,43570900
23-05-2023,170.082077,171.8864057,169.8044903,171.6385594,50747300
24-05-2023,170.3596497,170.934655,169.0510289,169.6161107,45143500
25-05-2023,171.4997559,172.401905,170.2109519,170.9247505,56058300
26-05-2023,173.9187164,174.2557989,171.6187104,171.826908,54835000
30-05-2023,175.7726135,177.4480571,175.0489065,175.4355462,55964400
31-05-2023,175.7230682,177.8049837,175.2372839,175.8023809,99625300
01-06-2023,178.5385742,178.5683146,175.4057931,176.169164,68901800
02-06-2023,179.3911743,180.214026,177.7157307,179.470487,61945900
05-06-2023,178.0329895,183.3567242,176.5062475,181.056718,121946500
06-06-2023,177.6661835,178.5683327,175.9015035,178.4196309,64848400
07-06-2023,176.2881317,179.6489271,175.7924391,176.9027857,61944600
08-06-2023,179.0144501,179.2821132,175.9312412,176.367438,50214900
09-06-2023,179.4010925,180.660141,179.0739336,179.9364339,48870700
12-06-2023,182.2067108,182.3058554,179.4110119,179.7084306,54274900
13-06-2023,181.730835,182.563595,180.8683346,181.2252339,54929100
14-06-2023,182.3653259,182.8015379,180.4519595,181.7903206,57462900
15-06-2023,184.407608,184.9132243,182.1968226,182.3752799,65433200
16-06-2023,183.3269653,185.3791401,182.6825709,185.1213703,101235600
20-06-2023,183.4161835,184.4968049,182.8213614,182.8213614,49799100
21-06-2023,182.3752441,183.8127498,181.017036,183.3071336,49515700
22-06-2023,185.3890533,185.4386256,182.0877384,182.1571427,51245300
23-06-2023,185.0718079,185.9442318,183.4161962,183.9515527,53079300
26-06-2023,183.6739655,186.4300155,183.6343016,185.2205242,48088700
27-06-2023,186.4399109,186.7670698,184.0705007,184.2886067,50730800
28-06-2023,187.6196747,188.2640691,185.9838949,186.3110388,51216800
29-06-2023,187.9567413,188.4326172,187.3123469,187.4511403,46347300
30-06-2023,192.2990265,192.8046276,189.6123654,189.9791883,85069600
